Model,MeanAE_Diff,MedianAE_Diff,BeatsReference_Pct,p_value,N
SARIMA,-0.15012861986650933,-0.17644001932424658,56.30252100840336,0.049109041333944004,119
Prophet,-0.03433953104253112,-0.044562252105777134,52.10084033613446,0.6927544489617068,119
Naive,0.6598465222270543,0.059065246582051145,48.739495798319325,0.03278488142560173,119
3-Month MA,0.744440359762068,0.32875366210937784,39.49579831932773,0.0031356464743413667,119
6-Month MA,0.7896784550001636,0.41110331217446117,39.49579831932773,0.0005716882744771814,119
