n_shock_months,Model,MAE,RMSE,MedianAE,MaxAE,N,MeanAE_Diff,p_value
13,XGBoost,2.2093257023738,2.4388320434918205,2.6282501220703125,4.09893798828125,13,,
13,XGBoost+Weather (oracle),2.3135350153996415,2.8012911075454006,2.3924560546875,6.184089660644531,13,0.10420931302584134,0.946044921875
13,XGBoost+Weather (operational),2.822954383263223,3.4693824910493376,2.7446441650390625,9.165573120117188,13,0.6136286808894231,0.454833984375
