Model,MAE,RMSE,MedianAE,MaxAE,N,Wins,WinRate
SARIMA,1.3723777990829067,1.8503206817107338,0.955969532121685,7.829121496209623,119,27,22.7
Prophet,1.4881668879068848,2.0387771188366814,1.125810699962912,8.569472329921581,119,25,21.0
XGBoost,1.5225064189494162,2.0127064587721963,1.3336380004882784,10.160464477539065,119,21,17.6
Naive,2.182352941176471,3.2211877343874367,1.2999999999999972,13.200000000000003,119,23,19.3
3-Month MA,2.2669467787114836,3.3523143057418996,1.3666666666666742,14.866666666666688,119,11,9.2
6-Month MA,2.3121848739495805,3.3438374411544713,1.566666666666677,15.150000000000006,119,12,10.1
