Model,MAE,RMSE,MedianAE,MaxAE,N,MeanAE_Diff,p_value
XGBoost,1.5225064189494153,2.0127064587721963,1.3336380004882784,10.160464477539065,119,,
XGBoost+Weather (oracle),1.5957511837742904,2.222733811498504,1.3250625610351534,11.161387634277347,119,0.07324476482487498,0.8652335662839605
XGBoost+Weather (operational),1.7618841732249535,2.5658254020798545,1.336918640136716,10.952574157714835,119,0.23937775427553815,0.2205237274769586
